(
)
,
.
.月朔
.王
.經
.頭
…
、
、得了
、行
。
。雅
『
』
〔
〔僕
〕
一
一一
一七
一七之半
一下
一些
一伊法
一併
一共
一出會堂
一切
一切工
一切板
一切自高
一十八
一千
一千一百
一千七百
一千七百七十五
一千七百七十五舍
一千七百六十
一千三百三十五日
一千三百六十五舍
一千二百
一千二百九十日
一千二百二十二
一千二百五十四
一千二百六十
一千二百四十七
一千來
一千四百
一千肘
一千舍
一千萬
一千零一十七
一千零五
一千零五十二
一半
一口
一口兩舌
一口氣
一同
一同召來
一向
一味
一塊
一大半
一定
一峰
一帶
一年
一座
一座壇
一彌
一律
一心
一心一意
一心為善
一手
一挂
一掄
一支派
一日
一時
一時之間
一會
一會兒
一月
一柯珥油
一概
一概餂盡
一樣
一樣麼
一次的話
一滿
一無所剩
一無所取
一無所失
一無所成
一無所有
一無所知
一無所缺
一無所行
一無所見
一生
一生一世
一百
一百一
一百一十
一百一十九
一百一十二
一百一十萬
一百七十二
一百七十五
一百三十
一百三十七
一百三十三
一百三十九
一百三十八
一百三十舍
一百二十
一百二十七
一百二十三
一百二十二
一百二十八
一百二十舍
一百五十
一百五十三
一百五十六
一百五十舍
一百八十
一百八十七
一百八十二
一百八十八
一百八十日
一百六十
一百六十二
一百四十
一百四十七
一百四十八
一百四十四
一百肘
一百舍
一百萬
一百零五
一直
一箭之遠
一約
一統碑
一肘
一興起
一舉一動
一舍
一般
一萬
一萬七千二百
一萬二千
一萬五千
一萬八千
一萬六千
一萬六千七百五十舍
一萬四千
一萬四千七百
一萬肘
一角
一言不發
一言不答
一言入於
一言請王
一賀梅
一賀梅珥
一賀梅珥半
一賀梅珥大麥
一起
一路
一連
一道
一邊
一陣
一霎時
一面
一體
一體麼
一鬮之地
一鬮歸
一鬮歸與
一點
一點一
一點青
一點點
一齊
丁
丁拿
丁稅
七
七七
七七年
七七日
七七節
七世孫以諾
七十
七十七
七十二
七十五
七十四
七十舍
七千
七千一百
七千七百
七千三百三十七
七千五百
七子
七座壇
七日
七星
七月
七月節
七枝號
七樣
七燈臺
七百
七百七十七
七百七十五
七百三十六
七百三十舍
七百二十一
七百二十五
七百八十二
七百六十
七百四十三
七百四十五
七百舍
七筐子
七節
七萬
七萬二千
七萬五千
七萬六千五百
七萬四千六百
七雷
七靈
丈
丈夫
三
三分之一
三分之二
三十
三十一
三十一年
三十七
三十七年
三十三
三十三萬七千五百
三十九
三十九年
三十二
三十二年
三十五
三十五肘
三十八
三十八年
三十六
三十四
三十多
三十年
三十日
三十肘
三十舍
三十萬
三十萬七千五百
三千
三千七百
三千三百
三千九百三十
三千二百
三千六百
三千六百三十
三千零二十三
三四
三子
三子示
三字
三彌那
三撒拿
三支派
三斗麵
三日
三日三
三晝
三更
三更天來
三月
三甲尼波
三番四
三番四次
三百
三百一十八
三百七十二
三百九十二
三百九十日
三百二十
三百二十三
三百二十八
三百二十四
三百五十
三百六十
三百六十五
三百四十五
三百肘
三百舍
三筐
三細亞
三肘
三舍
三萬
三萬七千
三萬二千
三萬二千二百
三萬二千五百
三萬五千四百
三萬八千
三萬六千
三萬零五百
三角
三館
三齒
上
上下
上下來
上主
上亞弗去
上伯
